# Program:featureCounts v2.0.4; Command:"/media/secondary/apps/subread-2.0.4-Linux-x86_64/bin/featureCounts" "-a" "../1_refs/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-s" "2" "-T" "6" "-p" "-o" "allSamples.featureCounts.txt" "RNA_S6614Nr10.bam" "RNA_S6614Nr11.bam" "RNA_S6614Nr12.bam" "RNA_S6614Nr13.bam" "RNA_S6614Nr14.bam" "RNA_S6614Nr15.bam" "RNA_S6614Nr16.bam" "RNA_S6614Nr17.bam" "RNA_S6614Nr18.bam" "RNA_S6614Nr1.bam" "RNA_S6614Nr2.bam" "RNA_S6614Nr3.bam" "RNA_S6614Nr4.bam" "RNA_S6614Nr5.bam" "RNA_S6614Nr6.bam" "RNA_S6614Nr7.bam" "RNA_S6614Nr8.bam" "RNA_S6614Nr9.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_S6614Nr10.bam	RNA_S6614Nr11.bam	RNA_S6614Nr12.bam	RNA_S6614Nr13.bam	RNA_S6614Nr14.bam	RNA_S6614Nr15.bam	RNA_S6614Nr16.bam	RNA_S6614Nr17.bam	RNA_S6614Nr18.bam	RNA_S6614Nr1.bam	RNA_S6614Nr2.bam	RNA_S6614Nr3.bam	RNA_S6614Nr4.bam	RNA_S6614Nr5.bam	RNA_S6614Nr6.bam	RNA_S6614Nr7.bam	RNA_S6614Nr8.bam	RNA_S6614Nr9.bam
YGR146C-A	VII	785276	785437	-	162	28	33	26	36	16	37	19	32	14	31	22	60	25	13	35	29	31	22
YGL194C	VII	140368	141726	-	1359	896	1143	667	930	1095	874	758	914	794	1123	1021	2333	1440	817	1151	795	1460	683
YGL138C	VII	248494	249531	-	1038	9	6	2	3	6	9	6	3	10	8	47	26	4	37	16	5	31	6
YGR091W	VII	666341	667825	+	1485	396	545	267	584	387	368	429	559	334	756	689	1206	643	382	524	445	852	349
YGR200C	VII	899904	902270	-	2367	596	920	749	1295	406	920	1245	936	1003	1802	609	2286	2175	343	867	1335	1219	932
YGR191W	VII	880420	882231	+	1812	1795	3700	2414	5644	1748	2964	4230	4538	3324	4739	3438	7047	5340	1431	4289	5015	6325	3320
YGR270C-A	VII	1027382	1027600	-	219	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
YGL227W	VII	69671	72547	+	2877	2186	1616	1016	1294	1792	1093	1053	1625	1256	2514	2426	5139	2402	994	2218	1359	2439	1215
YGR081C	VII	643148	643780	-	633	394	847	498	1151	445	734	1037	940	777	1139	530	1347	1018	335	622	759	902	690
YGL243W	VII	43307	44509	+	1203	744	902	659	1020	1093	844	1019	847	984	1058	901	1807	1488	659	760	907	1116	686
YGL194C-A	VII	139719	139961	-	243	817	1130	929	540	1260	1176	914	645	1057	708	1025	1410	926	1394	714	909	1083	827
YGR148C	VII	787312	787779	-	468	11128	23554	17796	27935	10716	22610	24517	24856	20050	38237	24460	61638	37774	9811	26184	28225	41280	26772
YGL136C	VII	252897	253859	-	963	1194	1449	1039	1934	1531	1004	1395	1847	1096	1730	2377	2553	1696	1132	1436	1475	2607	955
YGR276C	VII	1043819	1045480	-	1662	1615	1546	820	1451	1859	1081	1236	1394	1294	1445	1774	2829	2183	1421	1376	1328	2214	739
YGL129C	VII	267723	269075	-	1353	1190	1262	857	1363	1036	851	1026	1532	1021	1915	2077	3602	1650	702	1760	1418	2597	1170
tR(UCU)G2	VII	828723	828794	-	72	37	83	63	26	74	48	59	63	93	64	51	48	48	45	54	60	57	71
YGR053C	VII	594986	595837	-	852	3533	2281	1278	991	5381	1745	1259	1205	1625	1465	2560	2773	1866	3390	1286	1294	2603	911
YGR069W	VII	627083	627418	+	336	26	18	10	6	9	21	8	11	27	88	19	113	13	17	40	21	36	17
YGL224C	VII	78015	78857	-	843	706	1260	1104	2705	957	1308	2546	1980	1554	3304	2164	5627	2997	930	2320	2533	4785	2009
YGL193C	VII	141916	142227	-	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL020C	VII	457163	457870	-	708	2336	4736	3706	3928	2850	3650	3802	4703	4197	4183	5119	7133	5687	2564	4106	4868	7110	4330
YGL177W	VII	167559	167906	+	348	54	61	45	104	59	40	36	73	33	61	91	155	25	19	58	51	79	34
YGL189C	VII	148229	148588	-	360	19089	45123	32856	47372	17469	36898	41249	40772	31288	59087	41347	105741	60813	17406	46731	46178	74251	41619
YGR122W	VII	733935	735143	+	1209	646	926	806	1101	518	839	684	939	792	1543	1221	3051	1195	420	1241	892	1697	851
YGL003C	VII	492474	494174	-	1701	831	1226	844	1292	840	745	911	1319	800	1490	1628	3179	1329	575	1590	1204	2284	920
YGR210C	VII	913503	914738	-	1236	2134	5259	5037	5777	2228	4542	3018	5728	4138	4277	3165	22752	5288	1076	10821	3452	9469	5556
tG(GCC)G1	VII	845649	845719	+	71	391	458	411	189	446	378	292	316	481	262	362	106	182	205	188	276	224	194
YGR079W	VII	640720	641832	+	1113	70	202	126	481	87	219	190	198	186	359	92	474	382	69	229	153	292	187
YGL115W	VII	292033	293001	+	969	1981	2404	1773	1938	1904	2165	1685	1890	2129	3863	3132	7426	3551	1389	3322	2263	4323	2455
YGL105W	VII	307437	308567	+	1131	3209	6004	4194	6502	3099	4859	5339	5570	4673	9201	5804	18031	10868	2746	7204	5940	9536	5798
YGR026W	VII	532985	533821	+	837	4093	8536	6692	6189	4203	6635	5297	8341	7006	7474	9283	14749	7490	3391	9670	7332	11615	8035
YGR087C	VII	651290	652981	-	1692	37	61	39	109	58	39	38	68	32	35	138	138	26	51	95	53	135	49
YGR278W	VII	1046731	1048464	+	1734	488	879	568	940	465	563	691	926	630	1027	1108	1926	965	360	999	853	1413	793
YGR042W	VII	579476	580291	+	816	948	1286	886	1166	1107	925	961	1031	999	1005	1339	2314	1445	990	1134	876	1797	782
YGR043C	VII	580435	581436	-	1002	817	584	458	460	738	337	154	201	171	333	607	769	179	479	693	151	354	174
YGL165C	VII	191398	191976	-	579	25	14	11	11	26	17	7	8	14	4	26	7	5	25	13	29	16	15
YGR110W	VII	713709	715046	+	1338	605	677	451	811	448	355	493	663	451	1009	770	1965	975	275	947	622	1130	431
YGR089W	VII	656960	659770	+	2811	3019	4397	3423	4041	3654	3779	3682	4591	4284	3886	4942	5859	4236	2237	3080	4919	5143	3294
YGL158W	VII	207033	208571	+	1539	120	219	88	155	64	82	47	106	64	121	61	196	99	21	106	57	113	49
YGR262C	VII	1016974	1017759	-	786	603	1189	985	1408	627	1057	1062	1139	869	2126	1531	3945	2240	573	1650	1287	2416	1396
YGL200C	VII	122694	123305	-	612	16238	22002	22060	15010	22195	22519	19775	13333	21047	15722	14270	30832	26544	19077	13801	16133	22206	15067
YGL117W	VII	288512	289309	+	798	9932	8369	6018	22052	28051	10266	29491	14990	13621	22140	16126	22628	32648	15710	10049	25202	23780	9406
YGL186C	VII	151037	152776	-	1740	1786	3173	2918	4457	1853	3706	4441	4731	4819	6495	4506	11034	6444	1724	6411	6169	8559	5898
YGR010W	VII	511545	512732	+	1188	664	898	564	935	931	587	645	971	661	969	1231	1997	958	532	1060	772	1765	711
YGR198W	VII	894693	897146	+	2454	1677	2440	1647	2716	1475	1635	2042	2570	1899	2458	2302	5213	2928	903	2547	2503	2912	1715
YGR137W	VII	762888	763262	+	375	422	525	389	359	505	359	321	431	346	429	478	885	623	264	416	326	517	331
YGL058W	VII	393986	394504	+	519	1206	1978	1200	1969	1439	1487	1475	1647	1336	1790	1808	4494	3091	1406	1707	1468	2774	1377
YGL226W	VII	73340	73711	+	372	424	859	544	819	466	551	537	688	482	837	975	1574	952	391	828	649	1337	599
YGL055W	VII	398628	400160	+	1533	2810	4052	4505	4899	2024	6263	2971	4020	5155	3135	3195	7943	3637	1267	4224	3495	5591	3964
YGL184C	VII	154615	156012	-	1398	366	666	417	1014	301	679	761	1078	857	1920	431	3979	2142	264	1203	1018	1276	937
YGL024W	VII	449788	450123	+	336	2	4	6	10	7	5	15	8	10	27	24	57	26	12	25	15	31	10
tV(AAC)G3	VII	73829	73902	-	74	57	92	82	82	153	94	91	106	106	63	62	48	70	101	72	112	54	66
YGL151W	VII	217524	220922	+	3399	2157	2221	1742	1795	2419	2069	1942	2200	2247	2306	2888	5303	3531	1924	2034	2192	2929	1842
YGR101W	VII	693363	694403	+	1041	2249	2261	1428	1406	3063	1597	1435	1264	1506	1783	2315	3406	1673	1908	1946	1391	2656	1222
YGL230C	VII	63772	64215	-	444	450	448	327	151	549	325	237	156	169	128	282	265	135	350	133	268	225	134
YGR103W	VII	695417	697234	+	1818	2290	2230	2293	2670	2094	4033	4921	2390	4121	5499	1483	6273	10515	1444	2087	5241	2304	2605
YGR096W	VII	676621	677565	+	945	76	138	124	203	92	108	151	194	114	152	151	345	194	116	181	153	306	117
YGR112W	VII	717358	718527	+	1170	541	667	437	754	347	414	558	720	360	1274	1051	2426	1031	273	1079	634	1611	612
tI(AAU)G	VII	739122	739195	+	74	0	2	3	7	10	2	5	6	7	4	5	6	4	1	0	3	12	3
YGL013C	VII	469092	472298	-	3207	1800	2198	1045	2876	1772	988	1707	3176	1027	2494	4037	4192	1941	1009	2252	1849	4087	1132
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	9799	20763	19513	28820	8701	23424	28836	22665	19997	42929	18255	80026	49980	8715	30638	32449	41613	29006
YGR067C	VII	622372	624786	-	2415	194	102	92	98	128	100	80	74	77	145	198	221	93	107	174	90	246	65
YGR094W	VII	672186	675500	+	3315	6018	9093	6906	12747	6129	8185	12241	12099	10668	14176	9302	27997	23175	5929	9701	14390	16877	9155
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	1899	3565	2853	4078	2091	3109	3208	3851	2694	3668	4293	6313	4567	1647	3091	3622	4281	3163
YGR045C	VII	583934	584296	-	363	103	116	68	98	138	71	78	93	76	116	199	179	85	112	120	85	153	55
YGR175C	VII	846933	848423	-	1491	2379	3996	3435	4712	2335	3930	3441	4335	4004	4714	3965	11897	7383	1838	4496	4409	7180	4007
YGL008C	VII	479910	482666	-	2757	56504	155168	108429	177542	54315	118052	147728	178818	135963	116123	93361	206216	150979	37051	150450	171216	172820	126454
YGR115C	VII	720372	721151	-	780	0	2	0	0	0	0	0	5	0	3	2	0	0	0	1	3	0	4
YGR108W	VII	703636	705051	+	1416	1984	3109	2616	4130	2802	3834	4512	5974	5124	4849	5779	8435	6172	2836	3987	4907	7461	4280
YGR218W	VII	932541	935795	+	3255	3556	4342	2835	4881	3610	3279	3500	5027	3672	5390	5968	12220	6576	2369	5118	4643	6686	3504
YGR205W	VII	909213	910085	+	873	1940	1421	598	689	1623	859	763	1362	1139	2984	4005	4691	2161	1847	2595	1408	4361	1531
YGL073W	VII	368753	371254	+	2502	1191	1848	925	2044	1137	837	1251	2085	971	2010	2214	4279	1810	734	2200	1598	3198	1118
YGL009C	VII	476313	478652	-	2340	3086	4547	3751	3097	2229	4135	5353	5214	5731	22964	13584	48698	34030	8369	15794	14627	23700	14168
YGL095C	VII	328874	330607	-	1734	1388	2018	1091	1813	1594	1471	1401	1921	1480	2225	2691	4417	2630	1248	1922	1732	3064	1430
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	2399	3877	2729	4390	2182	2782	3561	4371	3123	5011	4548	9969	5545	1574	4421	4383	6666	3114
YGL214W	VII	90010	90495	+	486	0	0	0	1	2	0	1	2	2	5	4	7	2	2	0	4	0	0
YGR105W	VII	698599	698832	+	234	11185	13591	11155	7292	18388	14287	13380	7544	13151	8827	10775	12760	13836	18887	7346	12311	11982	8948
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	2073	2835	1839	3203	2196	2278	2908	2964	2423	3469	3316	6729	5064	1823	2858	3152	3829	2378
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	11	9	12	3	27	12	4	8	22	13	9	6	3	12	2	8	8	4
YGL217C	VII	84839	85180	-	342	1	0	4	0	0	0	1	4	0	0	0	5	2	0	0	2	1	0
YGL173C	VII	175527	180113	-	4587	3895	4919	3043	4471	3071	3081	3337	5628	3851	5628	5751	12041	6194	1984	4845	4380	7421	3532
YGL086W	VII	347119	349368	+	2250	2330	2385	1583	2412	2696	2228	2668	3057	2698	3335	2902	5165	5180	1696	2283	2816	2744	1861
YGR223C	VII	940869	942215	-	1347	1071	1160	853	961	921	790	771	1080	762	1388	1507	3084	1367	587	1407	891	2093	803
tS(AGA)G	VII	561662	561743	-	82	7	25	7	0	22	4	4	0	8	10	19	8	4	13	14	13	10	11
YGR077C	VII	637744	639513	-	1770	996	1382	1012	1273	836	879	902	1197	991	1488	1521	3098	1474	692	1477	1108	1935	970
YGL052W	VII	403437	403742	+	306	49	89	81	52	58	39	23	45	56	34	75	56	50	52	47	19	68	38
YGR285C	VII	1061852	1063153	-	1302	3806	7844	5384	9706	2783	6204	7367	7295	5736	13726	6204	25225	14617	2378	9827	9333	12518	8001
YGL080W	VII	358636	359028	+	393	10025	7928	5298	3695	13666	7325	5440	4190	6893	5629	7034	11056	6734	9254	4713	5264	7970	4077
YGL207W	VII	98969	102076	+	3108	2681	4114	2519	3856	2194	2682	2557	3907	2897	4266	3778	9506	5253	1351	4222	3172	5083	2948
YGR261C	VII	1014321	1016750	-	2430	1526	2093	1366	2267	1401	1473	1682	2232	1701	2396	2316	5065	3186	1049	1990	2169	3361	1553
YGR226C	VII	946792	947001	-	210	0	0	0	0	6	0	2	0	0	0	2	0	0	0	0	0	0	0
YGL140C	VII	241353	245012	-	3660	1662	3140	2276	2689	1419	2325	2327	3247	2541	2404	2656	4251	2538	865	2994	2821	3991	2435
YGL078C	VII	360288	361859	-	1572	364	572	541	1113	255	811	950	704	766	1330	431	1716	1719	340	639	847	863	807
YGL199C	VII	123572	124042	-	471	8	8	11	10	4	7	15	9	9	27	13	72	20	2	15	4	30	6
YGR164W	VII	828625	828960	+	336	2	7	2	7	2	3	3	0	0	0	6	0	0	2	2	1	2	0
YGR150C	VII	790459	793053	-	2595	959	1111	597	1275	1183	870	1092	1301	910	1360	1550	2681	1568	839	1197	1105	1569	885
YGL006W-A	VII	485423	485533	+	111	80	67	34	53	55	35	37	66	38	110	89	196	34	21	102	51	69	44
YGR196C	VII	889733	892186	-	2454	1859	2159	1503	1882	2288	1686	1735	2058	1877	2145	2392	4244	3054	1505	1948	1985	3072	1366
YGL197W	VII	124698	129161	+	4464	1548	2097	1682	2489	1283	1649	1656	2640	1951	2275	2799	5095	2022	604	2269	2098	3498	1628
YGR136W	VII	762428	763153	+	726	1148	2099	1405	1745	981	1344	1255	1872	1315	1938	1740	4635	1686	525	2136	1465	2772	1461
YGR153W	VII	796092	796745	+	654	3128	2769	2574	1667	3220	2231	1203	726	1270	830	1231	1169	1124	1155	663	1344	1309	768
YGL159W	VII	202721	203833	+	1113	1122	1190	704	1011	1320	872	957	1040	1009	1393	1412	2265	1385	1017	1241	1092	1515	828
YGR286C	VII	1063813	1064940	-	1128	433	614	352	908	448	517	382	475	416	949	925	1959	669	425	919	525	1331	615
YGL254W	VII	22304	23203	+	900	205	403	251	616	229	231	339	455	155	543	513	744	448	146	443	325	740	236
tH(GUG)G1	VII	110625	110696	-	72	106	139	140	48	109	96	71	79	87	74	90	30	56	83	64	61	32	47
YGR023W	VII	529264	530919	+	1656	1097	1118	907	1378	884	893	683	998	753	1218	1257	2888	812	257	1511	866	1846	718
snR48	VII	609584	609696	+	113	16	29	6	14	20	30	41	59	54	66	65	46	57	21	38	63	20	25
YGL063W	VII	383654	384766	+	1113	348	511	412	1102	272	352	651	726	367	786	907	1134	666	228	580	636	1263	373
YGL154C	VII	215278	216096	-	819	584	1031	675	1592	820	817	924	1286	763	1544	1603	2917	1653	675	1535	1102	2508	994
YGL035C	VII	431548	433062	-	1515	3213	3088	1332	2480	1938	1235	1194	2461	1252	3919	4408	6929	1945	1119	3424	1440	6758	1501
YGR009C	VII	509047	511002	-	1956	2338	2171	1519	2002	2216	1673	1750	2193	2054	2500	2596	5371	3616	1414	2052	2090	3464	1468
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	28200	36888	34357	38219	38863	52971	56604	34592	52679	52922	29990	90476	91347	46662	32196	48809	48857	40885
YGL064C	VII	381523	383208	-	1686	108	240	188	318	93	138	237	365	187	244	265	517	265	61	278	207	351	183
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	94655	70960	61492	51288	164214	98263	111252	45631	118276	52770	49417	147347	163186	159114	36532	70304	73046	46535
YGR277C	VII	1045644	1046561	-	918	650	1095	868	977	849	855	958	923	857	1182	1144	2214	1429	572	1062	1011	1652	806
YGR232W	VII	953960	954646	+	687	1710	2791	1643	2272	1840	2072	1659	2113	1616	3229	3549	5413	3233	1836	3007	1830	4510	2260
YGR227W	VII	947420	948997	+	1578	797	1585	1065	1419	821	1102	1273	1749	1256	1464	1711	2180	1300	607	1674	1613	2380	1358
YGL142C	VII	236269	238119	-	1851	1309	2239	1635	1933	1389	1545	1751	2390	1796	1846	2600	3057	1894	969	2230	2168	3091	1733
YGL143C	VII	234717	235958	-	1242	540	691	402	706	598	475	680	729	514	953	986	1596	1252	578	743	839	1409	526
YGR222W	VII	939923	940804	+	882	3009	2766	2271	2261	4634	3056	2313	2170	3794	2611	2999	5148	3996	3672	2180	2413	3021	2345
YGL045W	VII	414102	415730	+	1629	2609	4692	3416	5470	2208	3109	2793	3628	2372	2618	3039	7935	3639	845	3490	2993	4979	1835
YGL253W	VII	23935	25395	+	1461	19305	34371	15085	29582	14070	16018	18323	25719	13784	39697	38484	101933	39192	16370	38013	26634	71384	20603
YGR257C	VII	1006205	1007305	-	1101	1187	1564	1148	1943	1550	1229	1760	1526	1375	1863	1723	3051	2009	926	1691	1699	2570	1077
YGL131C	VII	261648	265859	-	4212	544	530	378	685	425	440	688	904	614	1072	938	1802	743	243	857	746	1078	597
YGR064W	VII	617621	617989	+	369	12	24	8	20	17	25	32	34	31	31	49	80	19	22	36	34	51	41
YGR263C	VII	1017967	1019241	-	1275	475	967	697	860	587	651	575	852	664	847	1013	1363	712	501	908	716	1460	574
YGL049C	VII	406860	409604	-	2745	1249	1597	966	1415	1212	1083	1225	1537	1170	1972	1942	4192	2272	778	1678	1595	2675	1144
YGR296C-B	VII	1089746	1090228	-	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL202W	VII	116059	117561	+	1503	5418	8551	6248	13162	5088	7353	10645	11214	9183	16163	11119	30628	22092	4879	12679	13612	19055	9390
YGL258W-A	VII	9162	9395	+	234	17	18	8	28	13	12	18	17	21	65	62	51	34	16	25	22	30	16
YGR133W	VII	756896	757447	+	552	167	381	237	404	147	256	261	301	204	478	349	838	399	103	429	297	618	273
YGR109C	VII	705359	706501	-	1143	47	106	92	181	39	139	173	148	140	229	102	254	181	40	75	184	172	143
YGR037C	VII	559731	559994	-	264	4047	8517	5381	6481	3721	6035	3689	5469	3858	6800	8380	11003	6475	2987	6650	4321	9192	5784
YGL077C	VII	362225	363916	-	1692	2472	5731	6511	3636	2023	6279	3456	4364	6051	6307	5151	17841	6615	2124	10266	5983	9610	8667
YGR111W	VII	715828	717030	+	1203	1954	2582	1511	1654	2232	1721	1219	1923	1740	2806	3142	6176	3338	1593	2866	1918	3788	1900
YGR016W	VII	522261	522833	+	573	304	397	220	412	313	211	286	391	191	363	587	629	349	234	385	348	601	265
YGR245C	VII	979765	982068	-	2304	320	400	428	898	195	576	942	653	701	1367	300	1746	2082	215	574	987	600	682
YGR287C	VII	1067222	1068991	-	1770	534	602	370	374	409	306	317	450	374	571	744	1207	501	394	616	344	880	333
YGL244W	VII	41498	43174	+	1677	1272	1971	1317	2192	1385	1595	1755	2334	1917	3129	2387	6894	3466	981	2607	2028	3731	2088
YGL057C	VII	394966	395829	-	864	369	598	340	486	507	394	350	438	341	521	530	1096	803	399	402	411	722	313
YGL187C	VII	149704	150171	-	468	5612	5153	3552	4259	5508	4133	4436	4467	3818	5064	7824	9490	5292	3686	4896	4449	7682	3161
YGR180C	VII	855264	856301	-	1038	6753	12420	5664	12039	5429	5644	4791	8417	4728	8864	10693	24068	11602	4756	9921	7136	16168	6293
YGR116W	VII	720409	724764	+	4356	3434	3711	2394	3946	3174	2685	3303	4161	3268	4794	4490	9851	5773	2193	3663	4267	5763	2941
YGL181W	VII	157906	159096	+	1191	1224	1886	1254	2109	1033	1278	1283	1861	1355	3118	2363	5757	2336	678	2693	1694	3523	1480
YGR202C	VII	903474	904748	-	1275	1219	2060	1455	3031	1155	1600	1857	2386	1784	3562	2355	7972	3073	801	3212	2308	4312	2314
YGL127C	VII	270392	270775	-	384	479	1041	1064	1196	529	805	686	988	654	1044	1111	2186	1037	349	964	810	1671	743
YGR203W	VII	905237	905683	+	447	385	621	450	711	386	565	586	628	581	715	866	1563	833	361	696	606	1271	476
YGL150C	VII	221104	225573	-	4470	2002	2164	1451	2927	1652	1613	2185	2898	2106	2703	2581	5157	2871	874	2166	2401	3289	1576
YGR134W	VII	757770	761138	+	3369	437	826	581	1035	501	570	774	1023	647	784	928	1506	856	262	810	796	1179	588
YGR095C	VII	675671	676342	-	672	354	727	365	906	327	520	588	720	440	966	776	1664	1104	385	764	602	1239	634
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	5666	12741	11496	17634	4884	12607	16941	14929	13207	23317	11511	42391	29333	5246	16468	19762	24932	16097
YGR269W	VII	1026636	1026962	+	327	20	25	18	22	14	16	16	22	14	29	24	53	29	6	28	25	35	12
YGR176W	VII	848720	849067	+	348	4	12	11	13	0	8	13	14	4	17	10	55	11	0	10	10	23	9
YGL263W	VII	2790	3932	+	1143	109	83	17	157	92	33	268	108	60	247	135	65	520	204	44	265	221	32
YGR057C	VII	604773	605501	-	729	2897	2733	2138	2291	4716	2792	2766	1838	2874	1723	1865	3566	3545	3246	1572	1999	1727	1494
YGL074C	VII	368596	368922	-	327	0	1	2	2	2	2	0	3	2	4	1	7	2	0	2	2	7	2
YGR007W	VII	506969	507940	+	972	1144	1847	1199	2137	1112	1302	1565	1851	1249	2184	2376	4884	2480	810	2194	1738	3742	1523
YGR241C	VII	974875	976581	-	1707	1251	1903	1530	1691	1114	1367	1053	1680	1424	2815	2561	5282	1712	667	2479	1609	3608	1635
YGR127W	VII	746798	747736	+	939	1206	1411	973	1328	1290	1061	757	1288	1096	2059	2658	4107	1449	617	1982	1107	2458	1283
YGL219C	VII	82878	84257	-	1380	1397	1972	1268	2607	1522	1264	1791	2149	1494	2476	2544	5124	2586	940	2164	2022	3587	1399
YGL061C	VII	388968	389711	-	744	810	969	779	825	943	968	858	827	849	1123	961	1953	1408	667	823	869	1208	742
YGR083C	VII	644860	646815	-	1956	646	1292	931	2008	545	971	1381	1550	1094	1909	1231	3328	2226	583	1206	1549	1974	1072
YGL038C	VII	425362	426804	-	1443	1796	2638	1960	2275	1459	1879	1782	2545	1847	3180	3495	4785	1971	922	3151	2327	4413	2326
YGL047W	VII	411552	412160	+	609	1165	1504	859	765	1284	845	648	840	793	1696	1978	3737	1378	1082	1951	790	2932	1092
YGR244C	VII	978036	979319	-	1284	2196	3373	2155	2151	2025	2099	1386	2640	2272	3840	5039	8524	2985	1541	5078	2055	6230	3143
YGR289C	VII	1073963	1075813	-	1851	1754	1152	698	707	1245	638	478	765	678	1687	2519	2562	976	786	1551	837	2542	663
YGL089C	VII	344791	345153	-	363	1675	2479	3005	1483	2712	4882	8279	5277	9243	9163	6245	23181	10642	4710	9842	10257	13511	10327
YGL180W	VII	160065	162758	+	2694	793	928	585	1651	913	648	1352	1258	911	1462	1528	2151	1790	559	936	1289	1551	609
YGR146C	VII	784223	784858	-	636	615	1100	1101	916	712	1101	290	322	398	819	600	2576	754	255	1144	547	977	740
YGL149W	VII	225572	225877	+	306	0	5	0	0	6	0	4	0	2	1	0	2	0	0	2	5	0	0
YGL242C	VII	44652	45197	-	546	1409	2318	1457	1724	1952	1425	1271	1729	1342	1483	2103	3301	2090	1331	1443	1484	2864	1155
YGR106C	VII	698989	699786	-	798	7975	14386	11703	13589	9109	12927	13088	15742	14239	13935	15524	26857	17857	8704	14098	15419	19812	14031
YGR004W	VII	502938	504326	+	1389	496	1030	928	889	467	921	873	1002	963	997	1052	1959	865	339	1152	1105	1590	1042
YGR209C	VII	912913	913227	-	315	81810	75581	59224	28568	112641	59563	47819	27886	47444	44572	64724	90852	60803	104183	38529	47149	68996	32853
YGR052W	VII	593596	594705	+	1110	499	365	1331	272	401	2080	305	442	1426	2138	495	4776	961	321	1509	485	798	1435
YGR158C	VII	805269	806021	-	753	249	394	296	698	305	433	577	496	457	737	325	1010	897	252	423	600	627	404
YGR003W	VII	500132	502366	+	2235	377	601	391	856	353	369	586	634	352	725	531	1262	674	191	571	480	715	404
YGR219W	VII	936035	936376	+	342	0	3	0	0	2	3	0	0	0	2	2	4	0	0	2	1	3	2
YGL247W	VII	36933	37526	+	594	2211	2309	1621	1525	3046	2068	2274	1454	2059	2018	2285	2541	2385	2730	1405	2135	2453	1365
YGR170W	VII	837142	840558	+	3417	4199	3855	2013	4627	4393	2065	3158	4792	2318	4019	8057	6409	3727	2331	3306	3510	6795	2066
YGR246C	VII	982482	984272	-	1791	1342	1700	1193	1684	1290	1412	1372	1625	1346	1863	1762	3558	2972	1173	1485	1633	2410	1174
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	132	205	221	424	205	204	279	309	197	325	518	362	176	100	194	269	453	184
YGR160W	VII	807073	807684	+	612	0	11	21	6	4	10	4	6	19	7	9	52	2	0	31	7	6	18
YGR204C-A	VII	909061	909174	-	114	17	12	11	8	36	6	2	5	14	29	59	17	6	64	20	8	22	2
YGR039W	VII	574888	575199	+	312	322	255	168	180	488	222	230	112	194	208	244	683	355	532	197	195	280	144
YGL059W	VII	392223	393698	+	1476	2136	2233	1423	3572	2565	1778	3077	2827	2338	4860	3083	6779	4897	1588	2915	3045	3905	2225
YGL123W	VII	277617	278381	+	765	25411	42146	41450	51961	24155	48163	63432	44895	47090	73216	34024	122144	84158	19715	52972	67272	71696	48997
YGL099W	VII	314631	316553	+	1923	317	624	428	1024	267	639	779	641	690	1473	464	1982	1466	315	871	808	1020	748
YGR102C	VII	694584	695135	-	552	456	761	605	972	468	685	652	748	638	1239	972	1896	1005	278	923	752	1292	801
YGL233W	VII	59122	61854	+	2733	1968	1929	1150	1592	1735	1340	1373	1782	1523	2591	2265	4337	2665	1201	2105	1787	2210	1255
YGL072C	VII	371003	371362	-	360	210	395	275	421	238	327	402	293	268	468	350	815	455	239	450	360	722	274
YGL056C	VII	396035	397618	-	1584	521	1116	848	1576	664	804	873	964	771	1506	968	2505	1310	507	1018	894	1540	841
YGR104C	VII	697445	698368	-	924	492	825	514	855	582	639	635	769	602	1144	993	2126	1027	307	970	748	1421	784
YGR240C	VII	970771	973734	-	2964	7875	17074	8755	22689	7489	9976	16062	19564	10549	20100	17395	46745	27882	7479	17124	20452	30565	12677
YGR243W	VII	977336	977776	+	441	33386	14561	10913	4673	36931	12808	2211	3470	6628	13304	14776	17000	4318	14360	10937	2931	12209	4921
YGR275W	VII	1043276	1043749	+	474	2058	3040	2031	2946	2630	2356	2536	2825	2003	2808	3758	4566	3448	2019	2471	2665	4864	2299
YGL088W	VII	345836	346201	+	366	2	2	3	0	2	4	1	1	3	4	4	6	3	2	1	6	2	2
YGR020C	VII	526973	527329	-	357	14522	16653	12689	11226	20656	18152	13890	12190	17670	13151	15142	32060	20815	18526	12425	13514	21940	13070
YGR100W	VII	690245	693097	+	2853	1281	1662	925	1559	1145	967	1193	1766	1132	2075	2160	4156	1831	775	1906	1490	2563	1221
